이름,지역,클래스,카테고리,세부분류
디브이디룸영화관,충청남도,장소,문화시설,비디오/DVD감상실
베스트비디오물감상실,서울특별시,장소,문화시설,비디오/DVD감상실
인스DVD방,서울특별시,장소,문화시설,비디오/DVD감상실
팝스DVD영화관,충청남도,장소,문화시설,비디오/DVD감상실
BOXORE디지털영화관,울산광역시,장소,문화시설,비디오/DVD감상실
시티비디오방,경기도,장소,문화시설,비디오/DVD감상실
프로젝트영화관,경상북도,장소,문화시설,일반극장/영화관
시네떼끄,울산광역시,장소,문화시설,비디오/DVD감상실
스타비디오방,서울특별시,장소,문화시설,비디오/DVD감상실
팝스디브이디영화관,경기도,장소,문화시설,비디오/DVD감상실
디브이디디지털영화관,강원도,장소,문화시설,비디오/DVD감상실
시네마월드,부산광역시,장소,문화시설,비디오/DVD감상실
벅스디브이디,부산광역시,장소,문화시설,비디오/DVD감상실
약속비디오방,경기도,장소,문화시설,비디오/DVD감상실
아이맥스존,경기도,장소,문화시설,비디오/DVD감상실
팝스디브이디,전라북도,장소,문화시설,비디오/DVD감상실
복스멀티피아,경기도,장소,문화시설,비디오/DVD감상실
폭스디브디영화관,충청남도,장소,문화시설,비디오/DVD감상실
디브이디시네마클럽,경상북도,장소,문화시설,비디오/DVD감상실
DVD키네마맥스영화관,충청북도,장소,문화시설,비디오/DVD감상실
타임캡슐DVD영화관,경상북도,장소,문화시설,비디오/DVD감상실
해리슨포드2,인천광역시,장소,문화시설,비디오/DVD감상실
스크린월드,부산광역시,장소,문화시설,비디오/DVD감상실
멀티플러스,제주특별자치도,장소,문화시설,비디오/DVD감상실
타히티디브이디영화관,부산광역시,장소,문화시설,비디오/DVD감상실
배우수업,전라북도,장소,문화시설,비디오/DVD감상실
브이디브이디,경상북도,장소,문화시설,비디오/DVD감상실
키네마DVD방,광주광역시,장소,문화시설,비디오/DVD감상실
시네마디브이디비디오방,경기도,장소,문화시설,비디오/DVD감상실
팝스디브이디영화관,경기도,장소,문화시설,비디오/DVD감상실
마임비디오감상실,전라북도,장소,문화시설,비디오/DVD감상실
엔피아DVD영화관,경기도,장소,문화시설,비디오/DVD감상실
명화극장,경상남도,장소,문화시설,비디오/DVD감상실
맥스DVD감상실,부산광역시,장소,문화시설,비디오/DVD감상실
원디브이디영화관,경상남도,장소,문화시설,비디오/DVD감상실
아라리오산업,충청남도,장소,문화시설,일반극장/영화관
해리슨포드디브이디감상실,인천광역시,장소,문화시설,비디오/DVD감상실
인터시네,인천광역시,장소,문화시설,비디오/DVD감상실
칸디브이디영화관,경상북도,장소,문화시설,비디오/DVD감상실
레드캣츠,대전광역시,장소,문화시설,비디오/DVD감상실
디브이디디지털영화관,경상북도,장소,문화시설,비디오/DVD감상실
디지털영화관,울산광역시,장소,문화시설,비디오/DVD감상실
엘케이넷무비영화관,강원도,장소,문화시설,비디오/DVD감상실
탑스DVD영화관,전라북도,장소,문화시설,비디오/DVD감상실
메가DVD영화관,부산광역시,장소,문화시설,비디오/DVD감상실
영화보는날,강원도,장소,문화시설,비디오/DVD감상실
디지털영화감상실,광주광역시,장소,문화시설,비디오/DVD감상실
프라임디브이디영화관비디오방,경상북도,장소,문화시설,비디오/DVD감상실
팝스디브이디영화관,경기도,장소,문화시설,비디오/DVD감상실
수DVD방,강원도,장소,문화시설,비디오/DVD감상실
영화사랑DVD감상실,전라북도,장소,문화시설,비디오/DVD감상실
디브이디영화관,강원도,장소,문화시설,비디오/DVD감상실
팝스디브디영화관,부산광역시,장소,문화시설,비디오/DVD감상실
팝스DVD영화관,부산광역시,장소,문화시설,비디오/DVD감상실
발렌타인극장,서울특별시,장소,문화시설,일반극장/영화관
시민극장,울산광역시,장소,문화시설,일반극장/영화관
예술극장,강원도,장소,문화시설,일반극장/영화관
평택극장,경기도,장소,문화시설,일반극장/영화관
국도극장,인천광역시,장소,문화시설,일반극장/영화관
샘터파랑새극장,서울특별시,장소,문화시설,일반극장/영화관
예그린씨어터,서울특별시,장소,문화시설,일반극장/영화관
도연극장,서울특별시,장소,문화시설,일반극장/영화관
에버랜드빅토리아극장,경기도,장소,문화시설,일반극장/영화관
파고다극장,서울특별시,장소,문화시설,일반극장/영화관
남대문극장,서울특별시,장소,문화시설,일반극장/영화관
돌채작은극장,인천광역시,장소,문화시설,일반극장/영화관
영보소극장,경상북도,장소,문화시설,일반극장/영화관
메가박스,부산광역시,장소,문화시설,메가박스
영화나라,전라남도,장소,문화시설,비디오/DVD감상실
CGV,대구광역시,장소,문화시설,CGV
큐DVD,서울특별시,장소,문화시설,비디오/DVD감상실
JOYDVD,서울특별시,장소,문화시설,비디오/DVD감상실
DVD영화관,서울특별시,장소,문화시설,비디오/DVD감상실
씨네파크,강원도,장소,문화시설,비디오/DVD감상실
준비디오방,경기도,장소,문화시설,비디오/DVD감상실
시네마DVD,충청북도,장소,문화시설,비디오/DVD감상실
하트폰영화방,울산광역시,장소,문화시설,비디오/DVD감상실
맥스영화관,충청남도,장소,문화시설,비디오/DVD감상실
프리존,서울특별시,장소,문화시설,비디오/DVD감상실
엠플레이,서울특별시,장소,문화시설,비디오/DVD감상실
엠플레이,서울특별시,장소,문화시설,비디오/DVD감상실
엠플레이,서울특별시,장소,문화시설,비디오/DVD감상실
클릭큐멀티방,서울특별시,장소,문화시설,비디오/DVD감상실
멀티플러스,서울특별시,장소,문화시설,비디오/DVD감상실
엠플레이,서울특별시,장소,문화시설,비디오/DVD감상실
멀티프리존,서울특별시,장소,문화시설,비디오/DVD감상실
스마일멀티방,서울특별시,장소,문화시설,비디오/DVD감상실
롯데시네마,대구광역시,장소,문화시설,롯데시네마
시네마월드,부산광역시,장소,문화시설,비디오/DVD감상실
아트씨어터씨플러스씨,부산광역시,장소,문화시설,일반극장/영화관
씨네31DVD,경기도,장소,문화시설,비디오/DVD감상실
DVD영화관,경기도,장소,문화시설,비디오/DVD감상실
ITDVD영화관,경기도,장소,문화시설,비디오/DVD감상실
DVD캐슬,경기도,장소,문화시설,비디오/DVD감상실
DVD테이크5,경기도,장소,문화시설,비디오/DVD감상실
매가맥스DVD,경기도,장소,문화시설,비디오/DVD감상실
영화관람실,경기도,장소,문화시설,비디오/DVD감상실
CGV,대구광역시,장소,문화시설,CGV
멀티플러스,서울특별시,장소,문화시설,비디오/DVD감상실
키노스크린,전라남도,장소,문화시설,비디오/DVD감상실
포니DVD영화관,경기도,장소,문화시설,비디오/DVD감상실
테이크파이브,경기도,장소,문화시설,비디오/DVD감상실
엠엔지DVD,경기도,장소,문화시설,비디오/DVD감상실
길DVD영화관,서울특별시,장소,문화시설,비디오/DVD감상실
토마토DVD영화관,경기도,장소,문화시설,비디오/DVD감상실
스마일멀티방,서울특별시,장소,문화시설,비디오/DVD감상실
포스영화관,경상남도,장소,문화시설,비디오/DVD감상실
골드DVD영화관,서울특별시,장소,문화시설,비디오/DVD감상실
로딩영화관,서울특별시,장소,문화시설,비디오/DVD감상실
스크린로드비디오방,서울특별시,장소,문화시설,비디오/DVD감상실
씨네마칸DVD,서울특별시,장소,문화시설,비디오/DVD감상실
아마존DVD영화관,서울특별시,장소,문화시설,비디오/DVD감상실
월드비디오방,서울특별시,장소,문화시설,비디오/DVD감상실
