이름,지역,클래스,카테고리,세부분류
세익스피어극장,서울특별시,장소,문화시설,공연/연극/문화센터
제주월드컵경기장스토리움,제주특별자치도,장소,문화시설,공연/연극/문화센터
신시뮤지컬극장,서울특별시,장소,문화시설,공연/연극/문화센터
씨어터디아더,서울특별시,장소,문화시설,공연/연극/문화센터
아트홀봄,서울특별시,장소,문화시설,공연/연극/문화센터
아티스탄홀,서울특별시,장소,문화시설,공연/연극/문화센터
야외공연장,서울특별시,장소,문화시설,공연/연극/문화센터
은파시민공원야외소공연장,전라북도,장소,문화시설,공연/연극/문화센터
보성공연예술촌연바람,전라남도,장소,문화시설,공연/연극/문화센터
연단소극장,서울특별시,장소,문화시설,공연/연극/문화센터
연우소극장,서울특별시,장소,문화시설,공연/연극/문화센터
열음소극장,서울특별시,장소,문화시설,공연/연극/문화센터
예마당소극장,부산광역시,장소,문화시설,공연/연극/문화센터
충돌12소극장,서울특별시,장소,문화시설,공연/연극/문화센터
칠십리공연장,제주특별자치도,장소,문화시설,공연/연극/문화센터
컬트홀,서울특별시,장소,문화시설,공연/연극/문화센터
코아아트홀,제주특별자치도,장소,문화시설,공연/연극/문화센터
두류공원코오롱음악당,대구광역시,장소,문화시설,공연/연극/문화센터
크리스탈소극장,충청남도,장소,문화시설,공연/연극/문화센터
팝콘하우스,서울특별시,장소,문화시설,공연/연극/문화센터
모차르트콘서트홀,서울특별시,장소,문화시설,공연/연극/문화센터
밀양연극촌,경상남도,장소,문화시설,공연/연극/문화센터
바탕골소극장,서울특별시,장소,문화시설,공연/연극/문화센터
포스트극장,서울특별시,장소,문화시설,공연/연극/문화센터
학전그린소극장,서울특별시,장소,문화시설,공연/연극/문화센터
한국공연예술원,충청남도,장소,문화시설,공연/연극/문화센터
해바라기소극장,대구광역시,장소,문화시설,공연/연극/문화센터
해변문화관,부산광역시,장소,문화시설,공연/연극/문화센터
예술극장,광주광역시,장소,문화시설,공연/연극/문화센터
예술회관공연장,인천광역시,장소,문화시설,공연/연극/문화센터
오재미동,서울특별시,장소,문화시설,공연/연극/문화센터
우림청담씨어터,서울특별시,장소,문화시설,공연/연극/문화센터
원우아트홀,전라북도,장소,문화시설,공연/연극/문화센터
이랑씨어터,서울특별시,장소,문화시설,공연/연극/문화센터
올림픽공원인형극장,서울특별시,장소,문화시설,공연/연극/문화센터
정보소극장,서울특별시,장소,문화시설,공연/연극/문화센터
창작소극장,전라북도,장소,문화시설,공연/연극/문화센터
T샘,서울특별시,장소,문화시설,공연/연극/문화센터
UV하우스,경기도,장소,문화시설,공연/연극/문화센터
가인소극장,경상남도,장소,문화시설,공연/연극/문화센터
갤러리소극장,전라북도,장소,문화시설,공연/연극/문화센터
국민생활소극장,부산광역시,장소,문화시설,공연/연극/문화센터
국제콘서트홀,서울특별시,장소,문화시설,공연/연극/문화센터
극단후암,서울특별시,장소,문화시설,공연/연극/문화센터
김해시립공연장,경상남도,장소,문화시설,공연/연극/문화센터
까망소극장,서울특별시,장소,문화시설,공연/연극/문화센터
나루아트센터,서울특별시,장소,문화시설,공연/연극/문화센터
나무와물,서울특별시,장소,문화시설,공연/연극/문화센터
난타전용극장,서울특별시,장소,문화시설,공연/연극/문화센터
대학로극장,서울특별시,장소,문화시설,공연/연극/문화센터
도도소극장,충청북도,장소,문화시설,공연/연극/문화센터
떼아트르분도,대구광역시,장소,문화시설,공연/연극/문화센터
라이브소극장,서울특별시,장소,문화시설,공연/연극/문화센터
라이프씨어터,서울특별시,장소,문화시설,공연/연극/문화센터
라트어린이극장,서울특별시,장소,문화시설,공연/연극/문화센터
롤링홀,서울특별시,장소,문화시설,공연/연극/문화센터
마로니에소극장,서울특별시,장소,문화시설,공연/연극/문화센터
메사팝콘홀,서울특별시,장소,문화시설,공연/연극/문화센터
명동성당꼬스트홀,서울특별시,장소,문화시설,공연/연극/문화센터
판소리전수관,전라남도,장소,문화시설,공연/연극/문화센터
통진문화회관,경기도,장소,문화시설,공연/연극/문화센터
엘리트문화센터,인천광역시,장소,문화시설,공연/연극/문화센터
엘리트문화센터,경기도,장소,문화시설,공연/연극/문화센터
양산문화예술회관,경상남도,장소,문화시설,공연/연극/문화센터
증평문화회관,충청북도,장소,문화시설,공연/연극/문화센터
증산도문화회관,대전광역시,장소,문화시설,공연/연극/문화센터
중앙문화센터,서울특별시,장소,문화시설,공연/연극/문화센터
고흥공설운동장고흥문화회관,전라남도,장소,문화시설,공연/연극/문화센터
한성아트홀,서울특별시,장소,문화시설,공연/연극/문화센터
오정아트홀,경기도,장소,문화시설,공연/연극/문화센터
예주문예회관,경상북도,장소,문화시설,공연/연극/문화센터
포항문화예술회관,경상북도,장소,문화시설,공연/연극/문화센터
연극영화예술원,전라북도,장소,문화시설,공연/연극/문화센터
여성문화회관,충청남도,장소,문화시설,공연/연극/문화센터
여성문화회관,경상북도,장소,문화시설,공연/연극/문화센터
여성문화회관,강원도,장소,문화시설,공연/연극/문화센터
음악문화원,인천광역시,장소,문화시설,공연/연극/문화센터
인천문화회관,인천광역시,장소,문화시설,공연/연극/문화센터
인쇄문화회관,서울특별시,장소,문화시설,공연/연극/문화센터
익산문화회관,전라북도,장소,문화시설,공연/연극/문화센터
익산국악원,전라북도,장소,문화시설,공연/연극/문화센터
여성문화회관,전라남도,장소,문화시설,공연/연극/문화센터
김해문화회관,경상남도,장소,문화시설,공연/연극/문화센터
영산아트홀,서울특별시,장소,문화시설,공연/연극/문화센터
열린공간마당,경상북도,장소,문화시설,공연/연극/문화센터
반월아트홀,경기도,장소,문화시설,공연/연극/문화센터
평택호예술관,경기도,장소,문화시설,공연/연극/문화센터
평창문화원,강원도,장소,문화시설,공연/연극/문화센터
시민문화회관,경상남도,장소,문화시설,공연/연극/문화센터
지리산아트홀,경상남도,장소,문화시설,공연/연극/문화센터
성산아트홀,경상남도,장소,문화시설,공연/연극/문화센터
진각문화회관,대구광역시,장소,문화시설,공연/연극/문화센터
전남대병원문화관,광주광역시,장소,문화시설,공연/연극/문화센터
주안문화회관,인천광역시,장소,문화시설,공연/연극/문화센터
주민문화센터,인천광역시,장소,문화시설,공연/연극/문화센터
인천문화예술회관,인천광역시,장소,문화시설,공연/연극/문화센터
정선문화원,강원도,장소,문화시설,공연/연극/문화센터
정보통신교육원,서울특별시,장소,문화시설,공연/연극/문화센터
장흥문예회관,전라남도,장소,문화시설,공연/연극/문화센터
장천아트홀,서울특별시,장소,문화시설,공연/연극/문화센터
안강문화회관,경상북도,장소,문화시설,공연/연극/문화센터
아리랑문학관,전라북도,장소,문화시설,공연/연극/문화센터
신충북문화센터,충청북도,장소,문화시설,공연/연극/문화센터
참가정문화센터,대전광역시,장소,문화시설,공연/연극/문화센터
예산문예회관,충청남도,장소,문화시설,공연/연극/문화센터
여성문화회관,전라남도,장소,문화시설,공연/연극/문화센터
한겨레문화센터,전라북도,장소,문화시설,공연/연극/문화센터
학생문화회관,부산광역시,장소,문화시설,공연/연극/문화센터
크리스찬문화센터,전라남도,장소,문화시설,공연/연극/문화센터
침촌문화회관,경상북도,장소,문화시설,공연/연극/문화센터
칠암문화센터,경상남도,장소,문화시설,공연/연극/문화센터
충주문화회관,충청북도,장소,문화시설,공연/연극/문화센터
청주문화관,충청북도,장소,문화시설,공연/연극/문화센터
청솔레포션센터,서울특별시,장소,문화시설,공연/연극/문화센터
광산구청소년수련관,광주광역시,장소,문화시설,공연/연극/문화센터
청소년문화회관,전라북도,장소,문화시설,공연/연극/문화센터
청소년문화의집,서울특별시,장소,문화시설,공연/연극/문화센터
청소년문화센터,전라남도,장소,문화시설,공연/연극/문화센터
향토문화회관,전라남도,장소,문화시설,공연/연극/문화센터
함안문화예술회관,경상남도,장소,문화시설,공연/연극/문화센터
한전문화회관,전라남도,장소,문화시설,공연/연극/문화센터
희망문화회관,경기도,장소,문화시설,공연/연극/문화센터
화지문화회관,부산광역시,장소,문화시설,공연/연극/문화센터
홍천문예회관,강원도,장소,문화시설,공연/연극/문화센터
홍주문화회관,충청남도,장소,문화시설,공연/연극/문화센터
호암아트홀,서울특별시,장소,문화시설,공연/연극/문화센터
현대문화회관,울산광역시,장소,문화시설,공연/연극/문화센터
의성종합운동장의성문화회관,경상북도,장소,문화시설,공연/연극/문화센터
의령문화회관,경상남도,장소,문화시설,공연/연극/문화센터
을숙도공원문화회관,부산광역시,장소,문화시설,공연/연극/문화센터
한국국제교류재단,서울특별시,장소,문화시설,공연/연극/문화센터
한국광고문화회관,서울특별시,장소,문화시설,공연/연극/문화센터
제천문화회관,충청북도,장소,문화시설,공연/연극/문화센터
제주문예회관,제주특별자치도,장소,문화시설,공연/연극/문화센터
콘코스홀,광주광역시,장소,문화시설,공연/연극/문화센터
전북국악원,전라북도,장소,문화시설,공연/연극/문화센터
입체예술극장,경상남도,장소,문화시설,공연/연극/문화센터
춘향문예회관,전라북도,장소,문화시설,공연/연극/문화센터
시민문화회관,충청남도,장소,문화시설,공연/연극/문화센터
시민문화회관,충청남도,장소,문화시설,공연/연극/문화센터
교육문화회관,충청남도,장소,문화시설,공연/연극/문화센터
아르코예술극장,서울특별시,장소,문화시설,공연/연극/문화센터
정읍사국악원,전라북도,장소,문화시설,공연/연극/문화센터
시립교향악단,충청남도,장소,문화시설,공연/연극/문화센터
승달문예회관,전라남도,장소,문화시설,공연/연극/문화센터
태백문예회관,강원도,장소,문화시설,공연/연극/문화센터
알미문화생활관,충청북도,장소,문화시설,공연/연극/문화센터
안양아트센터,경기도,장소,문화시설,공연/연극/문화센터
SGI안산문화회관,경기도,장소,문화시설,공연/연극/문화센터
삼척문예회관,강원도,장소,문화시설,공연/연극/문화센터
