이름,지역,클래스,카테고리,세부분류
박하사탕촬영지,충청북도,장소,관광지,드라마/영화촬영지
엽기적인그녀촬영지,강원도,장소,관광지,드라마/영화촬영지
화왕산촬영지,경상남도,장소,관광지,드라마/영화촬영지
횡성테마랜드,강원도,장소,관광지,드라마/영화촬영지
교도소세트장,전라북도,장소,관광지,드라마/영화촬영지
전주영화촬영소,전라북도,장소,관광지,드라마/영화촬영지
연애소설촬영장소,강원도,장소,관광지,드라마/영화촬영지
가을동화촬영장소,강원도,장소,관광지,드라마/영화촬영지
여친소촬영장소,강원도,장소,관광지,드라마/영화촬영지
태극기휘날리며촬영지,강원도,장소,관광지,드라마/영화촬영지
웰컴투동막골촬영지,강원도,장소,관광지,드라마/영화촬영지
대조영촬영지,강원도,장소,관광지,드라마/영화촬영지
청석골드라마세트장,강원도,장소,관광지,드라마/영화촬영지
선생김봉두찰영지,강원도,장소,관광지,드라마/영화촬영지
혜원의집,경상북도,장소,관광지,드라마/영화촬영지
선샤인스튜디오,충청남도,장소,관광지,드라마/영화촬영지
아현동골목길,서울특별시,장소,관광지,드라마/영화촬영지
영상컨텐츠소프트웨어진흥센터(2021년12월예정),강원도,장소,관광지,드라마/영화촬영지
